header,description,platforms
AwsEc2SecurityGroupRule,This event provides key metadata regarding security groups in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSecurityGroups API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeSecurityGroups.html] on your behalf. Each event represents a specific rule/ACL defined within a security group and are associated based on the AwsGroupId field. Rules represent the actual logic or ACL applied to the group. This event is only generated for Discover for AWS customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2NetworkAcl,,"Windows, Public Cloud"
AwsEc2NetworkAclEntry,Information from AWS API call DescribeNetworkAcls.,"Windows, Public Cloud"
GroupIdentity,"Provides the sensor boot unique mapping between GID, AuthenticationId, UserPrincipal, and UserSid.","macOS, Forensics"
IOServiceRegister,This event describes an IOService being registered with a notification handler.,macOS
LocalIpAddressIP4,This event is generated when a host uses a new IPv4 network address.,"Linux, Falcon Container, iOS, Android, macOS, Windows, Forensics"
LocalIpAddressIP6,This event is generated when a host uses a new IPv6 network address.,"Linux, Falcon Container, iOS, Android, macOS, Windows, Forensics"
HostnameChanged,Sent by the hostname awareness actor to communicate change in hostname.,"Linux, Falcon Container, macOS"
OsVersionInfo,"This event is generated during any one of the following scenarios: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This provides details about the operating system on which the sensor is running. Servers do not get rebooted often. Hence, you might not see some servers in this sample query. Fields: Android","Android, iOS, Windows, macOS, Linux, Falcon Container, Forensics, Windows Legacy, Vmcluster, Kubernetes"
APKMetadata,"Sent from mobile sensor in PlayStore mode when a new APK file is present on the device, as a result of an installation or an update Fields: Android",Android
MobileAppsManifest,Delivers information about apps. Fields: Android,Android
UncontainerizeAppResponse,"Sent in response to UncontainerizeApp, containing response information for the operation. Fields: Android",Android
WiFiConnect,"Sent when a device connects to a WiFi network. This event is only sent if the Connected Wi-Fi networks setting is enabled in Mobile Policies. Fields: Android, iOS","Android, iOS"
WiFiDisconnect,"Sent when a device disconnects from a WiFi network. This event is only sent if the Connected Wi-Fi networks setting is enabled in Mobile Policies. Fields: Android, iOS","Android, iOS"
MobilePowerStats,"Sent when power level in a mobile device changes, also contains duration when the sensor is in foreground/background during IntervalStartTime to IntervalEndTime. Fields: Android","Android, iOS"
ContainerizationUpdate,"Sent following an LFODownload of a new APK to be installed or updated in the container, containing response information for the operation. Fields: Android",Android
FileInfo,Error event for FileInfo response. FileInfo response with information about a file. Fields: Forensics,"Forensics, macOS"
ClipboardCopy,Sent when content is copied to the clipboard.,"iOS, Android"
InstalledApplication,"An event that describes a single application. E.g. representing a newly installed application, one just removed, or one discovered during enumeration. An event that describes a single application. E.g. representing a newly installed application, one just removed, or one discovered during enumeration. This event contains all the information for a single app.","Windows, macOS, Linux, Forensics"
SmbClientShareOpenedEtw,An event that indicates when a machine connects to a remote share. This event is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,Windows
SmbClientShareClosedEtw,An event that indicates when a machine disconnects from a remote share. This event is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,Windows
SmbServerV1AuditEtw,"An event that indicates that a client attempted to connect to this machine using the Server Message Block protocol, SMBv1. Captured using the ETW consumer.",Windows
DeactivateMobileSensorResponse,"Sent as confirmation by a Falcon Mobile sensor that it was reset and inactive. On Android, container apps and data have been wiped from the device. Complete deactivation of the sensor, including all current and future cloud connections, will follow shortly after. Sent as confirmation by a Falcon Mobile sensor that it was reset and inactive. Fields: Android, iOS","Android, iOS"
AccessoryConnected,Sent when the device connects to an external accessory. This event will only be sent if the Connected Bluetooth devices setting is enabled in Mobile Policies. Fields: Android,"Android, iOS"
AccessoryDisconnected,Sent when a device disconnects from an external accessory. This event will only be sent if the Connected Bluetooth devices setting is enabled in Mobile Policies. Fields: Android,"Android, iOS"
BillingInfo,Sensor sends this event to inform the cloud about the sensor billing type.,"Windows, Linux, Falcon Container, macOS"
EtwErrorEvent,An event that indicates that an error occurred which associated is with the ETW consumer.,Windows
OciContainerTelemetry,An event that contains telemetry information on a container.,"Linux, Falcon Container"
OciContainerStarted,An event that is sent by the sensor to indicate a container has started when the container is created.,"Linux, Falcon Container"
OciImageHeartbeat,An event that is sent by the sensor to indicate this image is still being used.,"Linux, Falcon Container"
OciContainerHeartbeat,An event that is sent by the sensor to indicate this container engine is still being used. This event is sent every 24 hours.,"Linux, Falcon Container"
OciContainerStopped,An event sent to indicate a container has stopped when the container is deleted.,"Linux, Falcon Container"
AuditCveKmEtw,An event that indicates that a driver or the kernel reported a known CVE (Common Vulnerabilities and Exposures id). Captured using the ETW consumer.,Windows
CsUmProcessCrashAuxiliaryEvent,"An event that is emitted when a CrowdStrike process crashes which helps diagnose issues in the field, one per thread.",Windows
FsVolumeMounted,Provides information about a mounted volume. Fields: Forensics,"Forensics, iOS, Windows, Linux, Falcon Container, macOS"
OciContainerEngineInfo,An event that contains information about this container engine.,"Linux, Falcon Container"
AuditCveUmEtw,An event that indicates that an application reported a known CVE (Common Vulnerabilities and Exposures id). Captured using the ETW consumer.,Windows
SystemCapacity,"An event that describes the CPU and RAM capacity of the system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in capacity is detected. An event that describes the CPU and RAM capacity data for a system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in capacity is detected.","Windows, macOS, Linux"
AndroidManifestXmlUploaded,An event that indicates the LFO upload of the AndroidManifest of an android application package was successful and maps the package name to the upload ID. Fields: Android,Android
AndroidManifestFragmentData,An event that's sent by the sensor along with AndroidManifestXmlUploaded that contains a logical portion of AndroidManifest encoded as JSON after a process is installed or after it is opened. Fields: Android,"Android, Windows"
FileVaultStatus,Contains information regarding the system FileVault (encrypted) state.,macOS
AmsiRegistrationStatus,Event to record status in AMSI module.,Windows
PtActivationStatus,Reports host's compatibility with the Processor Trace feature.,Windows
ProvisioningStarted,Sent when sensor begins provisioning.,Windows
ProvisioningStatusUpdate,Sent every 2 minutes during provisioning.,Windows
ProvisioningEnded,Sent when provisioning is completed.,Windows
K8SCluster,Snapshot of Kubernetes cluster for mapping Kubernetes cluster id and name. Fields: Public Cloud,Public Cloud
SpotlightEntityBatchHeader,Spotlight Batch header to indicate all required metadata of incoming batch along with information to deal with possibilities of dropped subsequent events.,"Windows, macOS, Linux"
RemovableMediaVolumeMounted,This event provides information about a removable media volume that was just mounted. Fields: Android,"Android, Windows"
FsVolumeUnmounted,Provides information about an unmounted volume.,"iOS, Windows, macOS, Linux, Falcon Container"
RemovableMediaVolumeUnmounted,An event that contains information about a removable media volume that was just unmounted. Fields: Android,Android
RemovableMediaFileWritten,An event that is emitted for files written to removable media on Android devices. Fields: Android,Android
ActiveDirectoryAccountNameUpdate,Indicates a change to the subject account's SAM account name.,Windows
ActiveDirectoryAccountOuUpdate,Indicates a change to the subject account's organizational unit.,Windows
ActiveDirectoryAccountDisabled,Indicates the subject account has been disabled.,Windows
ActiveDirectoryAccountLocked,Indicates the subject account has been locked.,Windows
ActiveDirectoryAccountUnlocked,Indicates the subject account has been unlocked.,"Windows, Windows"
ActiveDirectoryAccountCreated,Indicates the creation of the subject account.,Windows
ActiveDirectoryAccountPasswordUpdate,Indicates a change to the subject account's password.,Windows
ActiveDirectoryAccountEnabled,Indicates the subject account has been enabled.,Windows
StaticAnalysisContainerTelemetry,Cloudable event in response to a telemetry query for the static analysis containers.,Windows
UserInformationEtw,An event that indicates the password of a user was changed or set and other user information taken from UserLogonEtw.,Windows
TcgPcrInfo,An event that contains the Platform Configuration Register (PCR) values.,Windows
DcBluetoothDeviceDisconnected,This event represents a disconnected Bluetooth device.,"Windows, macOS"
DiskUtilization,An event that contains the used and available storage space for each mounted logical drive or volume that has an underlying physical disk locally attached to the system. The event is sent when the sensor connects and every 12 hours thereafter.,"Linux, Forensics"
DcBluetoothDeviceConnected,This event represents a connected Bluetooth device.,"Windows, macOS"
CidMigrationConfirmation,,"macOS, Linux, Windows"
CidMigrationComplete,,"macOS, Windows, Linux, Android"
DriverPreventionStatus,,Windows
SensorGroupingTagsUpdate,,Windows
SysConfigInfo,,"Linux, Falcon Container"
IdpPolicyAccountEventRuleMatch,Fields: Public Cloud,Public Cloud
UserLogon,This event is generated when a user logs on to a host.,"Linux, Windows, macOS, ChromeOS"
SensorAntiTamperState,,Windows
UserLogonFailed2,"An event that indicates that a local user attempted to logon, but failed due to bad password. LogonTime is the last successful logon time. The remote information will be present only if the logon originated over the network. RawProcessId will attribute a pid if relevant.","Linux, ChromeOS, macOS, Windows, Windows"
ServicesStatusInfo,Detailed information and status of a windows service.,"Windows, Forensics"
OdsCancelRequestReceived,,"Windows, macOS"
OdsScheduleCancelRequestReceived,,"Windows, macOS"
OdsScheduleRequestReceived,,"Windows, macOS"
OdsStarted,,"Windows, macOS"
OdsProfileReceived,,"Windows, macOS"
OdsStartRequestReceived,,"Windows, macOS"
OdsMaliciousFileFound,,"Windows, macOS"
OdsActionStatus,,"Windows, macOS"
ChannelActive,,Windows
OdsScheduleCanceled,,"Windows, macOS"
OdsStatus,,"Windows, macOS"
DcIdentification,This event enables monitoring of domain controllers (DCs) and the passing of identifying information to the CrowdStrike Cloud.,Windows
K8SClusterInfo,Fields: Kubernetes,Kubernetes
AgentOnline,"This event is generated when any of these occur: 1. A host is turned on or rebooted 2. A new sensor is installed on a host 3. An existing sensor is updated This event can help to determine when a host was last rebooted. However, it's not intended for gathering report data, such as uptime of long-running servers or counting all active hosts. For reports, use Falcon Investigate's Sensor Report [/investigate/events/en-US/app/eam2/sensor_app] . This event is generated when any of these occur: 1. A host is turned on or rebooted 2. A new sensor is installed on a host 3. An existing sensor is updated 4. The managed configuration changes This event can help to determine when a host was last rebooted. However, it's not intended for gathering report data, such as uptime of long-running servers or counting all active hosts. Fields: ChromeOS","ChromeOS, macOS, Windows, Linux, Falcon Container, Android, Kubernetes, iOS, Windows Legacy, Vmcluster"
SensorHeartbeat,Sent periodically to inform the cloud that the sensor is active. Sent periodically to inform the cloud that the sensor is active. Fields: ChromeOS,"ChromeOS, Windows Legacy, Vmcluster, Android, iOS, macOS, Windows, Linux, Falcon Container, Kubernetes"
LocalWindowsUserUpdate,,Windows
SmbClientShareLogonBruteForceSuspected,,"Windows, Windows"
CsKmCrashSummaryEvent,,Windows
LockdownModeStatus,,iOS
IdpContainerRestarted,,Windows
AsepValueUpdate,This event is generated when a Microsoft Auto Start Execution Point registry key has been updated.,"Windows, Windows, macOS, Linux, Falcon Container"
RansomwareRenameFile,A reified LocalFsPostRename event so the cloud can route these events for ransomware support.,Windows
AsepKeyUpdate,Generated when an Auto Start Execution Point registry key is updated.,Windows
ProcessRollup,An event that contains information from several sources and combines it into one event. The event describes a process which is running or has previously run on the host. The functionality of this event has been replaced by ProcessRollup2.,Windows
PeVersionInfo,"An event that describes file version information from a Portable Executable file resource location, as seen in the file properties dialog on Windows. The data is in the form of a binary blob that requires further parsing.",Windows
KernelModeLoadImage,Indicates a kernel-mode module has been loaded into memory.,"Windows, macOS, Linux, Falcon Container, Forensics"
IoSessionConnected,An event that is emitted when an IO session has been connected.,Windows
IoSessionLoggedOn,An event that is emitted when an IO session has been logged off.,Windows
CreateService,Generated when a Windows service is created.,Windows
ModifyServiceBinary,Indicates a Windows service's binary was changed.,Windows
UACCredentialCaptureElevation,This UAC event indicates the UAC consent.exe application was used by Windows to refresh the smart card credentials after a configurable timeout has expired.,Windows
UACCOMElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target COM object.,Windows
UACMSIElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target MSI.,Windows
WroteExeAndGeneratedServiceEvent,Indicates a process both wrote an executable and generated a service event.,"Windows, Windows"
UACAxisElevation,This UAC event indicates an attempt has been made to elevate the security privileges of a target ActiveX Installation Service (AXIS).,Windows
DllInjection,This event indicates that DLL injection occurred in the target process.,Windows
UnsignedModuleLoad,This event contains information about an unsigned module that was loaded into a target process. It combines relevant information from the ImageHash and SignInfoWithCertAndContext events for the unsigned module.,Windows
SuspiciousRawDiskRead,This event indicates a process successfully read a target file using raw disk access.,Windows
HostedServiceStopped,"This event is emitted when a hosted service (that is, a service inside a SvcHost.exe binary) is stopped by the service control manager (SCM). Unfortunately, the sensor is not currently capable of identifying who requested this operation. However, it can be used to confirm that this is a service stopping vs. a service crashing or being terminated. Also, starting and stopping hosted services multiple times during boot might not always show up in this event due to caching done by the SCM.",Windows
WmiCreateProcess,"Windows Management Instrumentation (WMI) is a default service installed on machines with Windows XP and newer. WMI is the infrastructure for management data and operations which allows a user to remotely manage machines and automate administrative tasks. WMI also supports scripting languages such as PowerShell and VBScript. Adversaries have utilized the WMI service to install implants, tools and perform credential theft via scripting in an effort to maneuver throughout customer environments. The Enhanced Attacker Execution Profiling (EAEP) event “WmiCreateProcess” will be useful in tracking the adversary’s lateral activity and/or origin of an attack during an intrusion. The Enhanced Attacker Execution Profiling (EAEP) event category focuses on gathering additional endpoint data on things like service creation, scheduled tasks, firewall rule modification, etc. This event is emitted when it is determined WMI was used to start a new process. ProcessRollup2 may also be updated to include RPC client information if available. There may be some known inconsistencies with attribution of the real RPC client data here, due to worker thread indirection that occurs within the WMI service process. If so, a later update will resolve those inconsistencies.",Windows
ExecutableDeleted,This event indicates that an executable was deleted from the host.,"Windows, macOS, Linux"
NewExecutableRenamed,This event is generated when an executable is renamed.,"Windows, macOS"
SuspiciousDnsRequest,This event is generated when the sensor detects a suspicious DNS request. A request is suspicious if it is attempting to send a request to a domain found on the sensor’s list of suspicious domains.,"Windows, Linux, macOS"
ProcessSelfDeleted,"This event indicates when a process self-delete situation is detected. It will be thrown when a process deletes a file that was previously loaded as the primary module in an ancestor process. If the self-delete was accomplished via injecting into an already running process, ContextProcessId will be the injector as well.","Windows, macOS, Linux"
FlashThreadCreateProcess,Thread associated with Flash activity created a process.,"Windows, macOS"
EndOfProcess,"When a process that’s running on a host finishes, the sensor will count all of the events that were generated by that process, bundle the information in an EndOfProcess event, and send it to the cloud. This allows you to determine, for example, how many DNS requests a process made, how many directory creation events occurred, or how many network connections a process made.","Windows, macOS, Linux, Falcon Container"
CommandHistory,This event includes the full command history associated with one of the consoles in a process that has recently terminated (identified by the TargetProcessId). Note that a given UPID may be associated with multiple consoles (identified by ApplicationName).,Windows
BehaviorWhitelisted,Indicates that a behavior has been whitelisted.,"Windows, macOS, Linux"
UserLogonFailed,This event is generated when a user logon fails.,Windows
FalconHostRegTamperingInfo,An event that describes the registry event that triggered a Falcon sensor tampering indicator.,Windows
FalconHostFileTamperingInfo,An event that describes the file event that triggered a Falcon sensor tampering indicator.,Windows
ScriptControlErrorEvent,An event that contains telemetry data containing up to 56 KB ScriptContent field data from AMSI (AntiMalware Scan Interface) that has been deobfuscated.,Windows
SuspiciousRegAsepUpdate,An event that describes the registry activity that triggered a suspicious registry ASEP (Autostart Extension Point) detect.,Windows
NetworkModuleLoadAttempt,An event that indicates that a process whose primary image was not on a network attempted to load a module from that network.,Windows
RemovableDiskModuleLoadAttempt,An event that indicates that a process with a primary image that is not on a removable disk attempted to load a module from a removable disk.,Windows
SuspiciousEseFileWritten,This event indicates that a possible domain credential file (NTDS.dit) was copied from a volume snapshot.,Windows
FileDeleteInfo,This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event.,"Windows, macOS, Linux"
SystemTokenStolen,An event that indicates that system token stealing was detected.,Windows
LowILModuleLoadAttempt,An event that indicates that a non-LowIL process attempted to load an untrusted LowIL module.,Windows
ImageHash,This event is generated for each DLL or executable loaded into a process’ memory.,"macOS, Linux, Falcon Container, Windows"
TerminateProcess,This event is thrown when a process exits normally or is forcibly terminated.,"macOS, Linux, Falcon Container, Windows, ChromeOS"
ProcessActivitySummary,A rollup event created when a process terminates. Includes statistical information about what a process did during its lifetime.,"macOS, Windows"
KextLoad,"Signals a Kernel Extension (KEXT) Load, triggered via a MAC hook.",macOS
KextUnload,"Signals a Kernel Extension (KEXT) Unload, triggered via a MAC hook.",macOS
DirectoryCreate,This event is generated when a process creates a new folder.,"macOS, Windows, Linux"
SyntheticProcessRollup2,"This event provides data similar to what is available in a ProcessRollup2. SyntheticProcessRollup2 events are generated for processes that started before the sensor does, such as during installation.","macOS, Windows, Linux, Falcon Container, ChromeOS"
CriticalFileAccessed,A critical file was accessed.,"macOS, Linux, Falcon Container, ChromeOS"
CriticalFileModified,A critical file was modified.,"macOS, Linux, Falcon Container, ChromeOS"
PtyCreated,An event that notifies that a pty has been created.,macOS
FileOpenInfo,This event is generated when a file is opened by a process.,"macOS, Linux, Falcon Container, Windows"
FirewallDisabled,An event that is sent from the sensor when packet filter is disabled.,macOS
FirewallEnabled,An event that is sent from the sensor when packet filter is enabled.,macOS
FileCreateInfo,This event is generated when a file is created by a process.,"macOS, Linux, Falcon Container, Windows, Linux, Falcon Container, Windows, macOS, Windows Legacy"
CriticalEnvironmentVariableChanged,A process set a critical environment variable.,"Linux, Falcon Container"
FileDeleted,"This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event. This event has been deprecated as of Falcon Sensor for Windows 4.16.7903, and Falcon Sensor for Mac 4.16.7801. Older sensors and existing data for these events will still appear, but new sensors utilize the FileOpenInfo event. This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event. File entry from a file observed in the recycle bin. Fields: Android","Android, Windows, Forensics"
